zip,city,median_sale_price,median_ppsf,homes_sold,periods
91325,,1172841,528.6,164,4
91326,,1357901,541.2,274,4
91331,,754973,556.9,225,4
91333,,797000,584.3,1,1
91335,,856391,575.8,230,4
91340,,743200,562.2,60,4
91342,,840945,521.1,307,4
91343,,909539,536.5,191,4
91344,,1060519,563.4,337,4
91345,,827994,532.0,78,4
91350,,842853,430.7,347,4
91351,,760430,449.6,221,4
91352,,873298,627.3,131,4
91354,,908970,396.3,380,4
91355,,894762,506.0,189,4
91356,,1858261,662.5,161,4
91360,,1081579,556.2,273,4
91361,,1922488,714.3,207,4
91362,,1378935,576.5,278,4
91364,,1359733,631.6,292,4
91367,,1396682,639.9,296,4
91377,,1333058,610.2,103,4
91381,,1230051,431.2,175,4
91382,,1125250,476.4,16,4
91384,,810192,411.9,224,4
91387,,939865,412.7,223,4
91390,,933973,387.1,182,4
91396,,910000,397.7,1,1
91401,,1316358,714.5,151,4
91402,,776833,571.7,105,4
91403,,1990907,825.1,129,4
91405,,873636,540.8,110,4
91406,,890044,599.7,226,4
91411,,1072769,739.5,78,4
91423,,1981969,820.8,213,4
91436,,2392137,770.4,161,4
91501,,1477632,816.7,57,4
91502,,995000,790.7,11,4
91504,,1457958,842.0,95,4
91505,,1187113,849.4,168,4
91506,,1303402,869.5,122,4
91601,,1172827,755.9,81,4
91602,,1850783,892.8,99,4
91604,,2222326,929.4,215,4
91605,,872062,576.8,120,4
91606,,921235,621.4,98,4
91607,,1489211,781.8,114,4
91609,,969000,448.8,2,1
91614,,2755400,894.8,5,3
91615,,848500,639.1,2,1
91701,,852337,460.9,276,4
91702,,749982,551.5,168,4
91706,,738747,575.7,146,4
91708,,834359,361.5,135,4
91709,,1076235,517.3,446,4
91710,,776760,452.8,337,4
91711,,1126762,561.2,244,4
91722,,776414,563.9,145,4
91723,,830622,527.6,49,4
91724,,908871,527.1,124,4
91730,,730877,485.7,231,4
91731,,738426,689.8,27,4
91732,,810978,533.7,92,4
91733,,791657,531.7,72,4
91737,,1044311,461.6,167,4
91739,,1025321,413.4,221,4
91740,,839647,581.2,116,4
91741,,1076335,564.8,221,4
91744,,759314,575.4,204,4
91745,,1041910,524.6,267,4
91746,,759420,591.6,69,4
91748,,1033478,540.0,184,4
91750,,1004202,550.5,168,4
91752,,881390,336.5,163,4
91754,,967079,671.3,101,4
91755,,957351,653.8,74,4
91758,,551250,586.0,12,4
91759,,647500,406.3,8,2
91761,,754348,393.8,341,4
91762,,715081,430.7,271,4
91763,,696814,485.9,97,4
91764,,659889,487.2,153,4
91765,,1196048,562.6,248,4
91766,,701898,503.5,186,4
91767,,692680,492.2,153,4
91768,,652611,513.2,113,4
91770,,920171,653.8,123,4
91773,,958403,547.8,154,4
91775,,1365783,792.6,120,4
91776,,1024082,741.4,61,4
91780,,1180045,709.8,133,4
91784,,1007198,435.7,237,4
91786,,756893,466.3,248,4
91788,,905000,763.6,2,1
91789,,1206941,613.0,202,4
91790,,843526,573.5,156,4
91791,,967517,525.5,149,4
91792,,836688,555.1,80,4
91801,,1091243,731.6,74,4
91803,,943716,687.3,67,4
91804,,1010000,735.1,3,2
91901,,981571,466.9,156,4
91902,,1167679,543.0,106,4
91905,,467765,321.6,17,4
91906,,476805,372.3,41,4
91910,,893204,515.5,199,4
91911,,813961,552.5,229,4
91913,,973284,449.1,278,4
91914,,1326184,467.4,76,4
91915,,977269,466.2,117,4
91916,,738078,418.7,32,4
91917,,662500,565.0,6,3
91931,,760500,485.0,1,1
91932,,844138,652.7,87,4
91934,,336715,319.1,7,4
91935,,989459,437.2,85,4
91941,,1094649,561.3,276,4
91942,,883864,618.3,169,4
91945,,773313,535.0,134,4
91948,,205250,253.2,8,2
91950,,727124,583.3,89,4
91962,,703577,369.9,26,4
91963,,588071,369.1,7,4
91977,,787418,504.3,340,4
91978,,930138,426.2,47,4
92003,,1400263,457.9,57,4
92004,,368167,234.0,54,4
92007,,2332537,1170.0,67,4
92008,,1875806,864.1,180,4
92009,,1852998,705.4,281,4
92010,,1497194,726.9,98,4
92011,,1856833,782.1,150,4
92014,,3573827,1312.0,98,4
92018,,2636703,992.1,3,2
92019,,958215,524.0,246,4
92020,,954480,523.3,227,4
92021,,814259,506.6,270,4
92022,,720000,676.7,1,1
92023,,1354000,976.9,1,1
92024,,2278542,964.6,369,4
92025,,985650,504.9,177,4
92026,,890960,470.3,379,4
92027,,837012,483.7,303,4
92028,,910439,418.0,528,4
92029,,1362383,511.6,183,4
92036,,587342,415.0,79,4
92037,,3616364,1361.8,284,4
92040,,826149,499.5,222,4
92046,,671667,586.1,3,2
92054,,1351944,742.0,198,4
92056,,927252,557.2,445,4
92057,,865022,485.4,450,4
92058,,875718,527.9,71,4
92059,,940000,522.4,3,3
92060,,422867,401.2,15,4
92061,,1084273,395.8,22,4
92064,,1304947,641.7,375,4
92065,,820469,414.9,341,4
92066,,436200,353.7,10,4
92067,,5129017,983.8,117,4
92068,,1126776,391.3,49,4
92069,,991067,529.0,224,4
92070,,1227500,545.6,8,4
92071,,856767,559.4,329,4
92072,,815000,857.9,1,1
92075,,2951346,1345.9,65,4
92078,,1313070,564.7,287,4
92081,,983481,519.8,181,4
92082,,901836,386.8,198,4
92083,,823483,522.8,87,4
92084,,983396,499.5,307,4
92086,,509615,277.1,13,4
92091,,4147976,891.9,21,4
92101,,1150000,736.4,3,3
92102,,797682,724.4,85,4
92103,,1757860,947.1,150,4
92104,,1137906,998.1,138,4
92105,,717043,649.6,140,4
92106,,1936704,908.4,152,4
92107,,1852641,1039.4,131,4
92108,,1056087,619.1,23,4
92109,,2176643,1227.6,140,4
92110,,1501818,922.4,99,4
92111,,1053026,727.1,194,4
92113,,680506,577.6,89,4
92114,,760624,526.0,287,4
92115,,934371,717.5,244,4
92116,,1378961,994.0,140,4
92117,,1173166,805.7,349,4
92118,,3197264,1498.7,125,4
92119,,1060145,633.4,165,4
92120,,1184447,689.7,219,4
92121,,1650833,733.7,6,3
92122,,1653352,868.4,115,4
92123,,1044566,689.5,136,4
92124,,1207533,641.3,90,4
92126,,1106115,689.6,234,4
92127,,2127369,713.3,252,4
92128,,1193898,638.2,293,4
92129,,1376469,704.0,277,4
92130,,2482169,830.5,201,4
92131,,1664564,687.7,172,4
92139,,762114,525.1,105,4
92154,,799588,494.8,226,4
92160,,1005714,618.8,7,3
92173,,734355,500.6,31,4
92197,,1096868,799.6,53,4
92201,,558960,298.0,507,4
92203,,562957,272.9,524,4
92210,,1901250,600.3,174,4
92211,,566694,304.8,640,4
92220,,443646,262.6,475,4
92223,,536708,262.5,720,4
92225,,213674,162.6,89,4
92227,,388364,246.5,99,4
92230,,324062,260.0,16,4
92231,,393141,266.5,78,4
92233,,258333,187.7,6,3
92234,,551779,312.6,407,4
92236,,498934,285.6,108,4
92239,,198000,169.0,2,2
92240,,402171,246.8,433,4
92241,,501000,280.6,39,4
92242,,157211,105.6,9,4
92243,,423946,252.2,130,4
92249,,437188,242.5,16,4
92250,,341661,245.7,26,4
92251,,463396,260.5,134,4
92252,,393078,318.9,219,4
92253,,882955,386.9,948,4
92254,,261250,232.6,8,4
92255,,750000,251.5,1,1
92256,,343884,265.5,73,4
92257,,111257,139.8,7,3
92258,,329167,243.5,3,2
92259,,220000,138.9,1,1
92260,,881053,396.3,300,4
92261,,627500,302.1,2,1
92262,,908510,489.6,498,4
92263,,1286667,772.7,3,3
92264,,1368306,616.5,252,4
92268,,787143,572.8,7,3
92270,,1141477,429.8,484,4
92274,,304275,213.6,71,4
92275,,285000,192.6,1,1
92276,,428744,275.7,41,4
92277,,260184,220.8,305,4
92281,,310400,236.8,5,3
92282,,416000,259.9,17,4
92283,,505000,202.6,2,2
92284,,381428,255.7,402,4
92285,,254385,234.9,65,4
92301,,397742,255.6,240,4
92305,,345062,223.8,16,4
92307,,462294,239.5,473,4
92308,,414477,237.8,583,4
92311,,271179,206.9,273,4
92313,,611875,367.0,80,4
92314,,393743,330.7,311,4
92315,,611277,395.1,457,4
92316,,544455,419.9,101,4
92317,,268429,306.1,7,4
92318,,500000,337.6,2,1
92320,,582053,307.6,95,4
92321,,345015,315.7,18,4
92322,,321646,243.6,24,3
92324,,516447,369.2,208,4
92325,,354752,274.3,262,4
92326,,395500,424.8,2,2
92327,,150000,129.5,3,2
92333,,498441,374.0,68,4
92335,,564260,428.4,219,4
92336,,717765,348.0,611,4
92337,,593815,396.7,173,4
92339,,331283,259.6,30,4
92341,,329898,286.5,49,4
92342,,377637,202.6,146,4
92344,,535797,247.2,319,4
92345,,459814,262.7,754,4
92346,,594075,317.3,366,4
92347,,75000,100.0,1,1
92352,,689844,348.2,417,4
92354,,688545,353.2,132,4
92356,,281382,192.0,76,4
92358,,463250,373.6,16,4
92359,,562524,330.7,42,4
92363,,143238,114.7,42,4
92365,,220304,153.1,23,4
92366,,214583,151.2,24,4
92368,,235111,147.5,9,4
92371,,485192,248.4,159,4
92372,,470000,247.6,62,4
92373,,799873,387.4,252,4
92374,,609372,360.6,331,4
92376,,572445,356.9,368,4
92377,,667013,343.0,138,4
92378,,427857,287.4,7,3
92382,,349681,286.6,196,4
92385,,371788,352.6,33,4
92386,,308959,340.5,98,4
92391,,346271,292.0,59,4
92392,,448178,233.4,494,4
92394,,433149,236.4,306,4
92395,,418032,250.9,425,4
92397,,431495,302.6,104,4
92398,,207432,172.1,9,4
92399,,583773,332.6,432,4
92401,,375000,313.2,4,3
92402,,475812,401.2,8,3
92404,,510291,364.3,326,4
92405,,480466,368.4,193,4
92407,,597163,335.3,369,4
92408,,502628,377.0,43,4
92410,,453504,379.2,125,4
92411,,437944,394.8,125,4
92501,,590878,408.0,123,4
92503,,660992,387.7,474,4
92504,,622452,417.4,334,4
92505,,649025,409.4,198,4
92506,,728581,392.2,407,4
92507,,647099,375.5,243,4
92508,,757144,314.8,301,4
92509,,667789,385.8,415,4
92513,,516750,514.5,4,3
92530,,585676,318.0,526,4
92532,,637482,258.5,255,4
92536,,603250,277.0,32,4
92539,,417581,232.8,31,4
92543,,417219,279.0,272,4
92544,,468763,278.3,384,4
92545,,447316,247.1,492,4
92548,,552116,262.6,83,4
92549,,476270,357.6,204,4
92551,,541757,308.9,185,4
92553,,521868,366.5,276,4
92555,,591325,288.0,328,4
92557,,563646,324.9,387,4
92561,,643172,310.6,32,4
92562,,719159,322.4,670,4
92563,,706283,284.0,572,4
92564,,837333,254.4,6,3
92567,,581370,296.4,73,4
92570,,616771,305.7,254,4
92571,,559912,276.9,379,4
92582,,526017,261.1,290,4
92583,,469391,272.1,238,4
92584,,628590,276.7,755,4
92585,,589944,273.1,360,4
92586,,401739,292.4,412,4
92587,,682092,350.0,239,4
92590,,1420256,400.6,39,4
92591,,749758,374.5,433,4
92592,,797509,354.6,705,4
92595,,672439,290.7,205,4
92596,,628218,286.5,730,4
92602,,2752578,950.2,135,4
92603,,3471972,1226.1,72,4
92604,,1569000,846.3,80,4
92606,,1636911,857.3,45,4
92610,,1392584,637.8,77,4
92612,,1442206,884.4,68,4
92614,,1678837,899.5,43,4
92618,,2375134,835.1,209,4
92620,,1968842,846.6,183,4
92624,,2228075,979.3,60,4
92625,,5625000,2087.4,119,4
92626,,1588421,888.1,247,4
92627,,1732550,1058.4,190,4
92629,,2936878,1321.5,196,4
92630,,1358913,673.1,390,4
92637,,1890000,1050.4,3,2
92646,,1512396,825.1,333,4
92647,,1301520,811.5,227,4
92648,,2023515,846.1,233,4
92649,,1763804,898.6,189,4
92651,,3121949,1545.5,265,4
92653,,1561897,731.2,145,4
92655,,1191900,705.2,10,3
92656,,1409458,699.6,118,4
92657,,8198765,1649.8,81,4
92660,,3893911,1380.8,254,4
92661,,5333333,2618.2,48,4
92662,,4993750,2419.0,32,4
92663,,4607265,1757.9,131,4
92672,,1906691,999.2,238,4
92673,,1848358,710.2,210,4
92675,,1875146,725.5,239,4
92676,,1401216,614.8,37,4
92677,,1723455,811.1,424,4
92678,,1388500,873.6,5,3
92679,,1707627,631.1,375,4
92683,,1126803,679.0,282,4
92688,,1262630,643.0,181,4
92691,,1335247,672.3,344,4
92692,,1260147,657.4,395,4
92694,,1504488,656.3,341,4
